"PO #","Kit Number","Shipping Warehouse","Vendor","Qty. Delivered","Total Wholesale Price","Total Unit Price","Vat tax","Status","Amount Invoiced",
"PO-2537","17313","Mahadevpura Inventory Warehouse","Old Stock","2","180","220","0","Received","180",
"PO-2538","17388","Mahadevpura Inventory Warehouse","Old Stock","2","180","220","0","Received","180",
"PO-2540","17388","Mahadevpura Inventory Warehouse","Old Stock","1","69","82","0","Received","69",
"PO-2541","16858","Mahadevpura Inventory Warehouse","Old Stock","1","69","82","0","Received","69",
"PO-2542","null","Mahadevpura Inventory Warehouse","Old Stock","300","17500","31000","0","Received","17500",
"PO-2543","17258","HSR Inventory Warehouse","RAMDEV AUTOMOBILES","3","390","436","0","Received","390",
"PO-2544","17258","HSR Inventory Warehouse","Old Stock","1","59","82","0","Received","59",
"PO-2545","17395","HSR Inventory Warehouse","RAMDEV AUTOMOBILES","1","195","215","0","Received","195",
"PO-2546","17395","HSR Inventory Warehouse","Old Stock","1","125","145","0","Received","125",
"PO-2547","17181","Mahadevpura Inventory Warehouse","Old Stock","2","259","297","0","Received","259",
"PO-2548","17311","HSR Inventory Warehouse","Old Stock","1","67","98","0","Received","67",
"PO-2549","17366","Mahadevpura Inventory Warehouse","Mahalaxmi Automobiles","1","490","589","0","Received","490",
"PO-2550","17365","Mahadevpura Inventory Warehouse","Old Stock","0","0","0","0","Open","0",
"PO-2551","17430","Hyderabad Inventory Warehouse","Royal AutoMobile","3","284","321","0","Received","284",
"PO-2552","17286","HSR Inventory Warehouse","RAMDEV AUTOMOBILES","1","60","82","0","Received","60",
"PO-2553","17431","HSR Inventory Warehouse","RAMDEV AUTOMOBILES","1","50","58","0","Received","50",
"PO-2554","17367","HSR Inventory Warehouse","RAMDEV AUTOMOBILES","1","170","189","0","Received","170",
"PO-2555","17237","Mahadevpura Inventory Warehouse","Old Stock","4","459","546","0","Received","459",
"PO-2556","17323","HSR Inventory Warehouse","Old Stock","1","59","82","0","Received","59",
"PO-2557","17391","Mahadevpura Inventory Warehouse","Old Stock","2","274","317","0","Received","274",
"PO-2558","17122","Mahadevpura Inventory Warehouse","Local","1","45","50","0","Received","45",
"PO-2559","17392","HSR Inventory Warehouse","RAMDEV AUTOMOBILES","1","30","35","0","Received","30",
"PO-2560","17313","Mahadevpura Inventory Warehouse","Mahalaxmi Automobiles","1","1550","1851","0","Received","1550",
"PO-2561","17409","HSR Inventory Warehouse","RAMDEV AUTOMOBILES","3","375","556","0","Received","375",
"PO-2562","17329","Mahadevpura Inventory Warehouse","Old Stock","2","179","227","0","Received","179",
"PO-2563","17340","Mahadevpura Inventory Warehouse","Mahalaxmi Automobiles","3","395","436","0","Received","395",
"PO-2564","17387","HSR Inventory Warehouse","RAMDEV AUTOMOBILES","2","1450","1892","0","Received","1450",
"PO-2565","17372","Mahadevpura Inventory Warehouse","Old Stock","1","69","82","0","Received","69",
"PO-2566","17361","Mahadevpura Inventory Warehouse","Old Stock","2","99","117","0","Received","99",
"PO-2567","17387","HSR Inventory Warehouse","Dummy","1","60","60","0","Received","60",
"PO-2568","17390","HSR Inventory Warehouse","Old Stock","3","369","459","0","Received","369",
"PO-2569","17384","Mahadevpura Inventory Warehouse","Old Stock","1","69","82","0","Received","69",
"PO-2570","17107","Mahadevpura Inventory Warehouse","Old Stock","1","69","82","0","Received","69",
"PO-2571","17223","HSR Inventory Warehouse","Dummy","1","50","50","0","Received","50",
"PO-2572","17374","Mahadevpura Inventory Warehouse","Old Stock","2","179","214","0","Received","179",
"PO-2573","17240","Mahadevpura Inventory Warehouse","Old Stock","2","99","117","0","Received","99",
"PO-2574","17413","HSR Inventory Warehouse","Old Stock","2","101","145","0","Received","101",
"PO-2575","17284","Mahadevpura Inventory Warehouse","Local","1","30","68","0","Received","30",
"PO-2576","17434","Mahadevpura Inventory Warehouse","Mahalaxmi Automobiles","5","250","315","0","Received","250",
"PO-2577","17434","Mahadevpura Inventory Warehouse","Old Stock","3","270","321","0","Received","270",
"PO-2578","17422","HSR Inventory Warehouse","Old Stock","2","310","360","0","Received","310",
"PO-2579","17382","Mahadevpura Inventory Warehouse","Bajaji","1","69","82","0","Received","69",
"PO-2580","17421","HSR Inventory Warehouse","Old Stock","1","63","98","0","Received","63",
"PO-2581","17290","Mahadevpura Inventory Warehouse","Mahalaxmi Automobiles","1","140","168","0","Received","140",
"PO-2582","17393","Mahadevpura Inventory Warehouse","Old Stock","3","240","321","0","Received","240",
"PO-2583","17378","HSR Inventory Warehouse","RAMDEV AUTOMOBILES","3","250","336","0","Received","250",
"PO-2585","17427","Mahadevpura Inventory Warehouse","Old Stock","1","170","199","0","Received","170",
"PO-2586","17427","Mahadevpura Inventory Warehouse","Old Stock","1","69","82","0","Received","69",
"PO-2587","17416","Mahadevpura Inventory Warehouse","Old Stock","1","69","82","0","Received","69",
"PO-2588","17392","HSR Inventory Warehouse","RAMDEV AUTOMOBILES","2","360","401","0","Received","360",
"PO-2589","17416","Mahadevpura Inventory Warehouse","Old Stock","1","30","38","0","Received","30",
"PO-2590","17418","Mahadevpura Inventory Warehouse","Old Stock","1","69","82","0","Received","69",
"PO-2591","17413","HSR Inventory Warehouse","RAMDEV AUTOMOBILES","1","180","250","0","Received","180",
"PO-2592","17176","Mahadevpura Inventory Warehouse","Bajaji","1","227","260","33","Received","260",
"PO-2593","17176","Mahadevpura Inventory Warehouse","Old Stock","1","155","179","0","Received","155",
"PO-2594","17380","Mahadevpura Inventory Warehouse","Old Stock","1","69","82","0","Received","69",
"PO-2595","17436","HSR Inventory Warehouse","RAMDEV AUTOMOBILES","1","55","63","0","Received","55",
"PO-2596","17339","Hyderabad Inventory Warehouse","Old Stock","5","617","694","0","Received","617",
"PO-2597","17339","Hyderabad Inventory Warehouse","Royal AutoMobile","1","65","82","0","Received","65",
"PO-2598","17442","Mahadevpura Inventory Warehouse","Old Stock","3","289","337","0","Received","289",
"PO-2599","17442","Mahadevpura Inventory Warehouse","Old Stock","1","30","38","0","Received","30",
"PO-2600","17420","HSR Inventory Warehouse","RAMDEV AUTOMOBILES","2","200","260","0","Received","200",
"PO-2601","17420","HSR Inventory Warehouse","Old Stock","1","85","100","0","Received","85",
"PO-2602","17339","Hyderabad Inventory Warehouse","Old Stock","1","163","175","0","Received","163",
"PO-2603","17420","HSR Inventory Warehouse","Old Stock","4","390","535","0","Received","390",
"PO-2604","17258","Jayanagar Warehouse","RAMDEV AUTOMOBILES","1","150","306","0","Received","150",
"PO-2605","17396","HSR Inventory Warehouse","Old Stock","6","525","651","0","Received","525",
"PO-2606","17462","HSR Inventory Warehouse","Old Stock","1","59","82","0","Received","59",
"PO-2607","17326","Mahadevpura Inventory Warehouse","Old Stock","4","290","413","0","Received","290",
"PO-2608","17326","Mahadevpura Inventory Warehouse","Mahalaxmi Automobiles","3","218","269","0","Received","218",
"PO-2609","17202","Mahadevpura Inventory Warehouse","Old Stock","1","69","82","0","Received","69",
"PO-2610","17229","HSR Inventory Warehouse","Old Stock","5","766","940","0","Received","766",
"PO-2611","17399","Mahadevpura Inventory Warehouse","Old Stock","1","69","82","0","Received","69",
"PO-2612","17466","Mahadevpura Inventory Warehouse","Local","1","250","250","0","Received","250",
"PO-2613","17428","Mahadevpura Inventory Warehouse","Mahalaxmi Automobiles","4","665","769","0","Received","665",
"PO-2614","17406","HSR Inventory Warehouse","Old Stock","2","160","209","0","Received","160",
"PO-2615","17457","Mahadevpura Inventory Warehouse","Old Stock","2","209","251","0","Received","209",
"PO-2616","17457","Mahadevpura Inventory Warehouse","Old Stock","1","30","38","0","Received","30",
"PO-2617","17459","HSR Inventory Warehouse","RAMDEV AUTOMOBILES","5","1615","1842","0","Received","1615",
"PO-2618","17408","Mahadevpura Inventory Warehouse","Mahalaxmi Automobiles","1","320","358","0","Received","320",
"PO-2619","17453","Mahadevpura Inventory Warehouse","Mahalaxmi Automobiles","2","1619","1933","0","Received","1619",
"PO-2620","17251","Mahadevpura Inventory Warehouse","Old Stock","2","819","952","0","Received","819",
"PO-2621","17465","HSR Inventory Warehouse","Old Stock","3","596","742","0","Received","596",
"PO-2622","17365","Mahadevpura Inventory Warehouse","Old Stock","2","79","100","0","Received","79",
"PO-2623","17414","Mahadevpura Inventory Warehouse","Old Stock","4","1669","1771","0","Received","1669",
"PO-2624","17471","HSR Inventory Warehouse","Old Stock","1","149","169","0","Received","149",
"PO-2625","17477","HSR Inventory Warehouse","Old Stock","2","225","273","0","Received","225",
"PO-2626","17276","Mahadevpura Inventory Warehouse","Old Stock","1","69","82","0","Received","69",
"PO-2627","17479","HSR Inventory Warehouse","Old Stock","2","195","245","0","Received","195",
"PO-2628","17449","Mahadevpura Inventory Warehouse","Old Stock","1","140","168","0","Received","140",
"PO-2629","17470","HSR Inventory Warehouse","RAMDEV AUTOMOBILES","1","2000","2216","0","Received","2000",
"PO-2630","17470","HSR Inventory Warehouse","Old Stock","5","394","534","0","Received","394",
"PO-2631","17469","Mahadevpura Inventory Warehouse","Old Stock","1","69","82","0","Received","69",
"PO-2632","17475","HSR Inventory Warehouse","Old Stock","1","117","138","0","Received","117",
"PO-2633","17468","Mahadevpura Inventory Warehouse","Mahalaxmi Automobiles","6","630","711","0","Received","630",
"PO-2634","17437","HSR Inventory Warehouse","Old Stock","1","60","100","0","Received","60",
"PO-2635","17468","Mahadevpura Inventory Warehouse","Old Stock","1","69","82","0","Received","69",
"PO-2636","17473","HSR Inventory Warehouse","Old Stock","2","261","311","0","Received","261",
"PO-2637","17437","HSR Inventory Warehouse","RAMDEV AUTOMOBILES","2","85","100","0","Received","85",
"PO-2638","17473","HSR Inventory Warehouse","Old Stock","1","60","100","0","Received","60",
"PO-2639","17443","HSR Inventory Warehouse","RAMDEV AUTOMOBILES","2","245","367","0","Received","245",
"PO-2640","17443","HSR Inventory Warehouse","Dummy","1","280","300","0","Received","280",
"PO-2641","17483","Mahadevpura Inventory Warehouse","Old Stock","1","69","82","0","Received","69",
"PO-2642","17489","HSR Inventory Warehouse","Old Stock","1","150","200","0","Received","150",
"PO-2643","17394","HSR Inventory Warehouse","Old Stock","4","174","261","0","Received","174",
"PO-2644","17405","HSR Inventory Warehouse","Kwality Automobiles","1","30","35","2","Received","32",
"PO-2645","17502","HSR Inventory Warehouse","Old Stock","1","80","100","0","Received","80",
"PO-2646","17503","HSR Inventory Warehouse","Old Stock","1","80","100","0","Received","80",
"PO-2647","17440","HSR Inventory Warehouse","RAMDEV AUTOMOBILES","15","2568","3019","0","Received","2568",
"PO-2648","17421","HSR Inventory Warehouse","Moonstar","2","370","373","0","Received","370",
"PO-2649","17494","HSR Inventory Warehouse","Old Stock","2","185","245","0","Received","185",
"PO-2650","17460","HSR Inventory Warehouse","Old Stock","1","1450","1790","0","Received","1450",
"PO-2651","17364","HSR Inventory Warehouse","RAMDEV AUTOMOBILES","0","0","0","0","Open","0",
"PO-2652","17493","Mahadevpura Inventory Warehouse","Old Stock","2","179","224","0","Received","179",
"PO-2653","17493","Mahadevpura Inventory Warehouse","Mahalaxmi Automobiles","1","75","85","0","Received","75",
"PO-2654","17498","Mahadevpura Inventory Warehouse","Bajaji","3","254","309","0","Received","254",
"PO-2655","17498","Mahadevpura Inventory Warehouse","Old Stock","1","140","169","0","Received","140",
"PO-2656","17312","Mahadevpura Inventory Warehouse","Old Stock","2","300","368","0","Received","300",
"PO-2657","17506","Mahadevpura Inventory Warehouse","Old Stock","1","69","82","0","Received","69",
"PO-2658","17397","Mahadevpura Inventory Warehouse","Mahalaxmi Automobiles","3","290","356","0","Received","290",
"PO-2659","17485","Mahadevpura Inventory Warehouse","Mahalaxmi Automobiles","3","254","297","0","Received","254",
"PO-2660","17521","HSR Inventory Warehouse","Old Stock","2","290","375","0","Received","290",
"PO-2661","17485","Mahadevpura Inventory Warehouse","Mahalaxmi Automobiles","2","60","90","0","Received","60",
"PO-2662","17445","HSR Inventory Warehouse","RAMDEV AUTOMOBILES","2","110","156","0","Received","110",
"PO-2663","17518","Mahadevpura Inventory Warehouse","Local","1","50","80","0","Received","50",
"PO-2664","17527","Mahadevpura Inventory Warehouse","Mahalaxmi Automobiles","3","174","209","0","Received","174",
"PO-2665","17499","HSR Inventory Warehouse","RAMDEV AUTOMOBILES","1","828","919","0","Received","828",
"PO-2666","17364","HSR Inventory Warehouse","Local","1","1","100","0","Received","1",
"PO-2667","17499","HSR Inventory Warehouse","Old Stock","1","70","120","0","Received","70",
"PO-2668","17529","Mahadevpura Inventory Warehouse","Local","1","100","120","0","Received","100",
"PO-2669","17519","HSR Inventory Warehouse","RAMDEV AUTOMOBILES","2","280","327","0","Received","280",
"PO-2670","17524","HSR Inventory Warehouse","RAMDEV AUTOMOBILES","1","110","135","0","Received","110",
"PO-2671","17530","HSR Inventory Warehouse","Old Stock","1","59","82","0","Received","59",
"PO-2672","17533","HSR Inventory Warehouse","Old Stock","5","462","635","0","Received","462",
"PO-2673","17498","Mahadevpura Inventory Warehouse","Mahalaxmi Automobiles","1","1280","1376","0","Received","1280",
"PO-2674","17402","Mahadevpura Inventory Warehouse","Mahalaxmi Automobiles","2","310","351","0","Received","310",
"PO-2675","17468","Mahadevpura Inventory Warehouse","Old Stock","1","10","28","0","Received","10",
"PO-2676","17522","HSR Inventory Warehouse","Local","1","100","150","0","Received","100",
"PO-2677","17528","HSR Inventory Warehouse","RAMDEV AUTOMOBILES","1","200","242","0","Received","200",
"PO-2678","17528","HSR Inventory Warehouse","RAMDEV AUTOMOBILES","1","200","235","0","Received","200",
"PO-2679","17536","HSR Inventory Warehouse","Old Stock","1","1300","1667","0","Received","1300",
"PO-2680","17540","HSR Inventory Warehouse","Old Stock","1","150","200","0","Received","150",
"PO-2681","17530","HSR Inventory Warehouse","HP petrol  pump","1","100","100","0","Received","100",
"PO-2682","17541","Mahadevpura Inventory Warehouse","Old Stock","1","69","82","0","Received","69",
"PO-2683","17541","Mahadevpura Inventory Warehouse","Local","1","100","100","0","Received","100",
"PO-2684","17440","HSR Inventory Warehouse","Local","1","1","100","0","Received","1",
"PO-2685","17498","Mahadevpura Inventory Warehouse","Local","2","180","250","0","Received","180",
"PO-2686","17528","HSR Inventory Warehouse","RAMDEV AUTOMOBILES","1","1300","1650","0","Received","1300",
"PO-2687","17507","Mahadevpura Inventory Warehouse","Old Stock","1","69","82","0","Received","69",
"PO-2688","17528","HSR Inventory Warehouse","Local","1","100","100","0","Received","100",
"PO-2689","17441","Mahadevpura Inventory Warehouse","Old Stock","2","819","937","0","Received","819",
"PO-2690","17450","Mahadevpura Inventory Warehouse","Old Stock","1","69","82","0","Received","69",
"PO-2691","17447","Mahadevpura Inventory Warehouse","Old Stock","1","69","82","0","Received","69",
"PO-2692","17487","HSR Inventory Warehouse","RAMDEV AUTOMOBILES","1","60","88","0","Received","60",
"PO-2693","17487","HSR Inventory Warehouse","Old Stock","1","10","18","0","Received","10",
"PO-2694","17508","Mahadevpura Inventory Warehouse","Old Stock","1","69","82","0","Received","69",
"PO-2695","17377","Mahadevpura Inventory Warehouse","Old Stock","1","69","82","0","Received","69",
"PO-2696","17542","Mahadevpura Inventory Warehouse","Old Stock","3","319","393","0","Received","319",
"PO-2697","17421","HSR Inventory Warehouse","VVARDHAMAN ENFIELD","1","123","137","0","Received","123",
"PO-2698","17542","Mahadevpura Inventory Warehouse","Old Stock","1","30","38","0","Received","30",
"PO-2699","17460","HSR Inventory Warehouse","VVARDHAMAN ENFIELD","6","1000","1135","0","Received","1000",
"PO-2700","17224","Mahadevpura Inventory Warehouse","Old Stock","2","189","224","0","Received","189",
"PO-2701","17224","Mahadevpura Inventory Warehouse","Old Stock","2","60","79","0","Received","60",
"PO-2702","17469","Mahadevpura Inventory Warehouse","Local","1","1212","1526","0","Received","1212",
"PO-2703","17555","Mahadevpura Inventory Warehouse","Old Stock","2","149","182","0","Received","149",
"PO-2704","17467","HSR Inventory Warehouse","Old Stock","1","65","98","0","Received","65",
"PO-2705","17511","HSR Inventory Warehouse","Old Stock","3","364","464","0","Received","364",
"PO-2706","17549","HSR Inventory Warehouse","Old Stock","1","60","80","0","Received","60",
"PO-2707","17401","HSR Inventory Warehouse","Kubera Tvs","1","1300","1404","0","Received","1300",
"PO-2708","17561","Mahadevpura Inventory Warehouse","Old Stock","3","398","470","0","Received","398",
"PO-2709","17476","HSR Inventory Warehouse","Old Stock","2","144","182","0","Received","144",
"PO-2710","17568","Hyderabad Inventory Warehouse","Old Stock","6","737","869","0","Received","737",
"PO-2711","17517","HSR Inventory Warehouse","Old Stock","4","1045","1214","0","Received","1045",
"PO-2712","17559","HSR Inventory Warehouse","Old Stock","1","30","35","0","Received","30",
"PO-2713","17559","HSR Inventory Warehouse","Old Stock","1","30","35","0","Received","30",
"PO-2714","17388","Mahadevpura Inventory Warehouse","Mahalaxmi Automobiles","1","1050","1154","0","Received","1050",
"PO-2715","17513","Mahadevpura Inventory Warehouse","Old Stock","2","274","317","0","Received","274",
"PO-2716","17560","Mahadevpura Inventory Warehouse","Old Stock","4","239","306","0","Received","239",
"PO-2717","17534","HSR Inventory Warehouse","Old Stock","1","120","140","0","Received","120",
"PO-2718","17560","Mahadevpura Inventory Warehouse","Old Stock","1","30","38","0","Received","30",
"PO-2719","17576","Mahadevpura Inventory Warehouse","Old Stock","3","289","347","0","Received","289",
"PO-2720","17224","Mahadevpura Inventory Warehouse","Mahalaxmi Automobiles","1","90","111","0","Received","90",
"PO-2721","17565","Mahadevpura Inventory Warehouse","Old Stock","2","149","182","0","Received","149",
"PO-2722","17572","HSR Inventory Warehouse","RAMDEV AUTOMOBILES","2","400","484","0","Received","400",
"PO-2723","16858","Mahadevpura Inventory Warehouse","Old Stock","2","290","320","0","Received","290",
"PO-2724","16858","Mahadevpura Inventory Warehouse","Sri Sai Ram Enfield","1","187","187","0","Received","187",
"PO-2725","17550","Mahadevpura Inventory Warehouse","Local","2","244","244","0","Received","244",
"PO-2726","17572","HSR Inventory Warehouse","Dummy","2","120","120","0","Received","120",
"PO-2727","17145","HSR Inventory Warehouse","Orion Motors","1","677","752","0","Received","677",
"PO-2728","17485","Mahadevpura Inventory Warehouse","Mahalaxmi Automobiles","1","10","17","0","Received","10",
"PO-2729","17401","HSR Inventory Warehouse","Kubera Tvs","2","330","361","0","Received","330",
"PO-2730","17468","Mahadevpura Inventory Warehouse","Local","2","330","400","0","Received","330",
"PO-2731","17554","HSR Inventory Warehouse","RAMDEV AUTOMOBILES","2","150","178","0","Received","150",
"PO-2732","17460","HSR Inventory Warehouse","Dummy","2","101","250","0","Received","101",
"PO-2733","17468","Mahadevpura Inventory Warehouse","Old Stock","1","70","94","0","Received","70",
"PO-2734","17460","HSR Inventory Warehouse","Moonstar","1","100","450","0","Received","100",
"PO-2735","17591","Hyderabad Inventory Warehouse","Royal AutoMobile","2","130","164","0","Received","130",
"PO-2736","17534","HSR Inventory Warehouse","Kwality Automobiles","5","4740","5005","0","Received","4740",
"PO-2737","17541","Mahadevpura Inventory Warehouse","Local","1","100","150","0","Received","100",
"PO-2738","17591","Hyderabad Inventory Warehouse","Old Stock","1","80","92","0","Received","80",
"PO-2739","17591","Hyderabad Inventory Warehouse","Old Stock","2","180","220","0","Received","180",
"PO-2740","17534","HSR Inventory Warehouse","Local","2","180","250","0","Received","180",
"PO-2741","17608","Mahadevpura Inventory Warehouse","Old Stock","2","84","112","0","Received","84",
"PO-2742","17517","HSR Inventory Warehouse","Local","1","100","200","0","Received","100",
"PO-2743","17570","Mahadevpura Inventory Warehouse","Mahalaxmi Automobiles","1","200","242","0","Received","200",
"PO-2744","17555","Mahadevpura Inventory Warehouse","Old Stock","1","270","313","0","Received","270",
"PO-2745","17570","Mahadevpura Inventory Warehouse","Local","1","50","80","0","Received","50",
"PO-2746","17562","HSR Inventory Warehouse","RAMDEV AUTOMOBILES","1","45","90","0","Received","45",
"PO-2747","17564","HSR Inventory Warehouse","RAMDEV AUTOMOBILES","1","30","35","0","Received","30",
"PO-2748","17607","HSR Inventory Warehouse","RAMDEV AUTOMOBILES","1","35","48","0","Received","35",
"PO-2749","17158","HSR Inventory Warehouse","NARENDRA AUTOMOBILES","1","5300","5550","0","Received","5300",
"PO-2750","17512","Mahadevpura Inventory Warehouse","Mahalaxmi Automobiles","3","85","129","0","Received","85",
"PO-2751","17531","Mahadevpura Inventory Warehouse","Mahalaxmi Automobiles","3","309","393","0","Received","309",
"PO-2752","17531","Mahadevpura Inventory Warehouse","Old Stock","1","30","38","0","Received","30",
"PO-2753","17563","Mahadevpura Inventory Warehouse","Mahalaxmi Automobiles","4","239","306","0","Received","239",
"PO-2754","17522","HSR Inventory Warehouse","RAMDEV AUTOMOBILES","9","4335","4831","0","Received","4335",
"PO-2755","17598","Mahadevpura Inventory Warehouse","Mahalaxmi Automobiles","4","339","433","0","Received","339",
"PO-2756","17522","HSR Inventory Warehouse","Old Stock","1","125","145","0","Received","125",
"PO-2757","17575","Mahadevpura Inventory Warehouse","Mahalaxmi Automobiles","3","1260","1431","0","Received","1260",
"PO-2758","17515","Mahadevpura Inventory Warehouse","Mahalaxmi Automobiles","5","634","803","0","Received","634",
"PO-2759","17546","HSR Inventory Warehouse","RAMDEV AUTOMOBILES","2","330","478","0","Received","330",
"PO-2760","17546","HSR Inventory Warehouse","RAMDEV AUTOMOBILES","9","3169","3539","0","Received","3169",
"PO-2761","17307","HSR Inventory Warehouse","RAMDEV AUTOMOBILES","1","90","110","0","Received","90",
"PO-2762","17546","HSR Inventory Warehouse","RAMDEV AUTOMOBILES","3","547.5","651","0","Received","547.5",
"PO-2763","17546","HSR Inventory Warehouse","RAMDEV AUTOMOBILES","2","232.5","256","0","Received","232.5",
"PO-2764","17564","HSR Inventory Warehouse","RAMDEV AUTOMOBILES","1","820","912","0","Received","820",
"PO-2765","17546","HSR Inventory Warehouse","NARENDRA AUTOMOBILES","1","3670","3888","0","Received","3670",
"PO-2766","17623","Hyderabad Inventory Warehouse","Old Stock","6","900","1020","0","Received","900",
"PO-2767","17583","Mahadevpura Inventory Warehouse","Old Stock","2","225","265","0","Received","225",
"PO-2768","17557","Mahadevpura Inventory Warehouse","Local","1","10","20","0","Received","10",
"PO-2769","17562","HSR Inventory Warehouse","Kwality Automobiles","4","1440","1614","0","Received","1440",
"PO-2770","17522","HSR Inventory Warehouse","Lathe","2","341","1300","0","Received","341",
"PO-2771","17515","Mahadevpura Inventory Warehouse","Old Stock","7","780","986","0","Received","780",
"PO-2772","17557","Mahadevpura Inventory Warehouse","Old Stock","1","10","20","0","Received","10",
"PO-2773","17639","Hyderabad Inventory Warehouse","Local","2","260","290","0","Received","260",
"PO-2774","17612","HSR Inventory Warehouse","Local","1","100","150","0","Received","100",
"PO-2775","17467","HSR Inventory Warehouse","VVARDHAMAN ENFIELD","1","575","639","0","Received","575",
"PO-2776","17606","Hyderabad Inventory Warehouse","Royal AutoMobile","6","484","573","0","Received","484",
"PO-2777","17612","HSR Inventory Warehouse","Old Stock","1","50","100","0","Received","50",
"PO-2778","17606","Hyderabad Inventory Warehouse","Old Stock","2","180","220","0","Received","180",
"PO-2779","17606","Hyderabad Inventory Warehouse","Old Stock","1","65","82","0","Received","65",
"PO-2780","17649","HSR Inventory Warehouse","RAMDEV AUTOMOBILES","1","40","40","0","Received","40",
"PO-2781","17659","Hyderabad Inventory Warehouse","Old Stock","2","131","140","0","Received","131",
"PO-2782","17659","Hyderabad Inventory Warehouse","Royal AutoMobile","4","1389","1527","0","Received","1389",
"PO-2783","17659","Hyderabad Inventory Warehouse","Old Stock","2","180","220","0","Received","180",
"PO-2784","17596","HSR Inventory Warehouse","RAMDEV AUTOMOBILES","3","30","66","0","Received","30",
"PO-2785","null","HSR Inventory Warehouse","SS Distributors","128","40762.259798399966","54096","0","Received","40762.259798399966",
"PO-2786","17601","Mahadevpura Inventory Warehouse","Old Stock","1","59","82","0","Received","59",
"PO-2787","17562","HSR Inventory Warehouse","Local","2","100","160","0","Received","100",
"PO-2788","null","Mahadevpura Warehouse","Moonstar","1","2","3","0","Received","2",
"PO-2789","17588","Mahadevpura Inventory Warehouse","Old Stock","7","882","1196","0","Received","882",
"PO-2790","17603","HSR Inventory Warehouse","Old Stock","1","25","38","0","Received","25",
"PO-2791","17596","HSR Inventory Warehouse","Local","2","150","250","0","Received","150",
"PO-2792","17663","HSR Inventory Warehouse","Old Stock","1","59","82","0","Received","59",
"PO-2793","17663","HSR Inventory Warehouse","Old Stock","1","256","296","0","Received","256",
"PO-2794","17596","HSR Inventory Warehouse","RAMDEV AUTOMOBILES","1","40","70","0","Received","40",
"PO-2795","17663","HSR Inventory Warehouse","RAMDEV AUTOMOBILES","1","60","89","0","Received","60",
"PO-2796","17546","HSR Inventory Warehouse","RAMDEV AUTOMOBILES","1","115","170","0","Received","115",
"PO-2797","17546","HSR Inventory Warehouse","Local","3","1000","1450","0","Received","1000",
"PO-2798","17546","HSR Inventory Warehouse","RAMDEV AUTOMOBILES","1","270","377","0","Received","270",
"PO-2799","null","HSR Inventory Warehouse","Supreme Bajaj","1","620","773","0","Received","620",
"PO-2800","17585","HSR Inventory Warehouse","Old Stock","1","200","245","0","Received","200",
"PO-2801","17573","HSR Inventory Warehouse","Old Stock","2","40","61","0","Received","40",
"PO-2802","17573","HSR Inventory Warehouse","Old Stock","8","819","1001","0","Received","819",
"PO-2803","17581","Mahadevpura Inventory Warehouse","Old Stock","2","225","255","0","Received","225",
"PO-2804","17158","HSR Inventory Warehouse","Kwality Automobiles","2","196","238","0","Received","196",
"PO-2805","17626","Mahadevpura Inventory Warehouse","Old Stock","2","225","255","0","Received","225",
"PO-2806","17626","Mahadevpura Inventory Warehouse","Old Stock","1","30","40","0","Received","30",
"PO-2807","17665","Mahadevpura Inventory Warehouse","Old Stock","1","70","82","0","Received","70",
"PO-2808","17622","Mahadevpura Inventory Warehouse","Local","1","124","124","0","Received","124",
"PO-2809","17585","HSR Inventory Warehouse","Kwality Automobiles","2","70","105","0","Received","70",
"PO-2810","17695","HSR Inventory Warehouse","RAMDEV AUTOMOBILES","2","20","40","0","Received","20",
"PO-2811","17586","Mahadevpura Inventory Warehouse","Old Stock","1","55","65","0","Received","55",
"PO-2812","17626","Mahadevpura Inventory Warehouse","Local","2","530","668","0","Received","530",
"PO-2813","17653","HSR Inventory Warehouse","RAMDEV AUTOMOBILES","2","150","323","0","Received","150",
"PO-2814","17592","Mahadevpura Inventory Warehouse","Old Stock","5","620","764","0","Received","620",
"PO-2815","17699","HSR Inventory Warehouse","Old Stock","1","100","120","0","Received","100",
"PO-2816","17700","HSR Inventory Warehouse","Local","2","330","360","0","Received","330",
"PO-2817","null","HSR Inventory Warehouse","CYBER AUTOMOBILES ENFIELD","180","43593.93999989492","54656","0","Received","43593.93999989492",
"PO-2819","17565","Mahadevpura Inventory Warehouse","Mahalaxmi Automobiles","1","220","245","0","Received","220",
"PO-2820","17615","Mahadevpura Inventory Warehouse","Mahalaxmi Automobiles","5","731","843","0","Received","731",
"PO-2821","17592","Mahadevpura Inventory Warehouse","Mahalaxmi Automobiles","1","140","157","0","Received","140",
"PO-2822","17158","HSR Inventory Warehouse","Kwality Automobiles","2","20","30","0","Received","20",
"PO-2823","17687","Mahadevpura Inventory Warehouse","Local","2","320","400","0","Received","320",
"PO-2824","17158","HSR Inventory Warehouse","Local","1","70","100","0","Received","70",
"PO-2825","null","HSR Inventory Warehouse","Mahaveer Bosch","0","0","0","0","Open","0",
"PO-2826","17485","Mahadevpura Inventory Warehouse","Mahalaxmi Automobiles","1","1300","1509","0","Received","1300",
"PO-2827","17485","Mahadevpura Inventory Warehouse","Local","1","100","150","0","Received","100",
"PO-2828","17695","HSR Inventory Warehouse","MAHAVEER AUTOMOBILES","2","1440","1508","0","Received","1440",
